,machine_id,start,job,index,duration
0,0,0,20,0,4
1,0,4,22,0,2
2,0,6,35,0,11
3,0,21,44,1,16
4,0,37,9,2,21
5,0,58,34,1,1
6,0,59,17,0,37
7,0,96,43,1,46
8,0,142,13,3,64
9,0,206,1,1,7
10,0,213,31,0,58
11,0,271,4,1,39
12,0,310,3,1,26
13,0,336,46,1,72
14,0,408,42,2,33
15,0,441,33,0,47
16,0,488,36,4,11
17,0,499,26,2,62
18,0,561,10,3,16
19,0,577,5,4,75
20,0,652,32,1,24
21,0,676,0,1,37
22,0,713,11,3,20
23,0,733,7,3,59
24,0,792,8,2,82
25,0,874,37,0,58
26,0,932,39,2,11
27,0,943,15,0,79
28,0,1022,25,1,3
29,0,1025,21,1,86
30,0,1111,28,1,53
31,0,1164,19,1,85
32,0,1261,48,2,50
33,0,1311,49,1,96
34,0,1422,14,3,89
35,0,1511,38,2,65
36,0,1616,24,4,71
37,0,1689,41,3,100
38,0,1789,47,1,87
39,0,1902,12,3,75
40,0,2002,30,2,8
41,0,2116,16,3,76
42,0,2192,2,4,14
43,0,2210,29,2,21
44,0,2231,18,2,46
45,0,2302,27,3,68
46,0,2370,6,4,65
47,0,2517,45,3,18
48,0,2563,23,4,81
49,0,2644,40,2,97
50,1,0,34,0,30
51,1,30,9,1,7
52,1,37,13,1,3
53,1,40,42,0,30
54,1,70,5,1,44
55,1,114,3,0,46
56,1,160,1,0,11
57,1,171,43,3,77
58,1,248,26,0,68
59,1,316,35,4,18
60,1,334,10,0,53
61,1,387,20,3,60
62,1,447,36,3,20
63,1,467,11,0,71
64,1,538,44,2,48
65,1,586,6,0,1
66,1,587,24,0,77
67,1,664,22,1,48
68,1,713,33,1,89
69,1,802,7,4,33
70,1,837,0,3,1
71,1,838,31,4,79
72,1,917,46,3,6
73,1,930,8,4,26
74,1,956,39,3,23
75,1,979,32,3,41
76,1,1022,15,1,65
77,1,1088,14,1,28
78,1,1116,21,2,5
79,1,1121,48,0,80
80,1,1201,41,1,5
81,1,1206,49,0,78
82,1,1284,28,3,89
83,1,1373,16,1,93
84,1,1522,37,4,21
85,1,1576,38,3,80
86,1,1657,19,4,94
87,1,1751,25,4,76
88,1,1827,4,4,62
89,1,1889,47,2,96
90,1,1985,12,4,7
91,1,1992,23,0,71
92,1,2063,30,4,86
93,1,2149,2,2,1
94,1,2150,27,1,96
95,1,2246,17,2,92
96,1,2338,29,4,85
97,1,2423,18,4,2
98,1,2425,45,2,92
99,1,2807,40,4,21
100,2,0,40,0,6
101,2,6,13,0,12
102,2,18,44,0,3
103,2,31,36,1,51
104,2,82,9,3,73
105,2,155,43,2,1
106,2,156,46,0,18
107,2,174,42,1,66
108,2,247,35,3,67
109,2,314,20,2,64
110,2,378,8,1,25
111,2,403,7,0,18
112,2,432,1,4,52
113,2,484,5,3,67
114,2,551,11,1,54
115,2,605,10,4,64
116,2,669,28,0,86
117,2,755,12,0,76
118,2,831,31,3,1
119,2,832,39,1,29
120,2,861,0,4,65
121,2,926,34,4,73
122,2,999,17,1,17
123,2,1020,32,4,59
124,2,1079,22,4,58
125,2,1137,37,2,9
126,2,1146,25,2,61
127,2,1207,21,4,77
128,2,1284,15,4,17
129,2,1301,41,2,13
130,2,1314,38,1,58
131,2,1372,33,2,68
132,2,1440,19,2,20
133,2,1460,48,4,85
134,2,1545,14,4,52
135,2,1597,24,3,19
136,2,1616,3,3,36
137,2,1652,4,2,92
138,2,1744,27,0,62
139,2,1806,49,4,99
140,2,1905,30,1,97
141,2,2002,47,3,58
142,2,2060,6,1,99
143,2,2159,2,3,1
144,2,2160,26,3,93
145,2,2253,29,3,78
146,2,2331,18,3,36
147,2,2367,16,4,23
148,2,2507,23,3,56
149,2,2563,45,4,19
150,3,0,16,0,20
151,3,20,9,0,1
152,3,21,43,0,55
153,3,76,34,2,61
154,3,137,5,2,43
155,3,181,35,2,66
156,3,247,13,4,30
157,3,277,1,2,68
158,3,345,36,2,67
159,3,412,10,1,27
160,3,439,31,1,4
161,3,447,20,4,79
162,3,526,32,0,85
163,3,611,44,4,51
164,3,662,7,2,15
165,3,677,11,2,21
166,3,698,39,0,74
167,3,772,0,2,64
168,3,836,42,3,70
169,3,906,8,3,23
170,3,929,22,3,25
171,3,954,21,0,32
172,3,986,46,4,67
173,3,1053,19,0,83
174,3,1136,15,3,78
175,3,1214,28,2,3
176,3,1217,38,0,85
177,3,1302,14,2,87
178,3,1389,48,3,65
179,3,1454,37,3,68
180,3,1522,24,2,72
181,3,1594,25,3,98
182,3,1692,3,4,20
183,3,1737,49,3,5
184,3,1744,4,3,53
185,3,1797,41,4,12
186,3,1811,12,2,91
187,3,1902,33,4,17
